2022, 671 102 569 6.57843137254902;
2021, 674 90 584 7.48888888888889;
2020, 639 104 535 6.14423076923077;
2019, 707 101 606 7;
2018, 754 90 664 8.37777777777778;
2017, 785 88 697 8.92045454545455;
2016, 800 67 733 11.9402985074627;
2015, 795 72 723 11.0416666666667;
2014, 792 57 735 13.8947368421053;
2013, 831 51 780 16.2941176470588;
2012, 813 50 763 16.26;
2011, 808 49 759 16.4897959183673;
2010, 832 38 794 21.8947368421053;
2009, 789 39 750 20.2307692307692;
2008, 854 41 813 20.8292682926829;
2007, 851 40 811 21.275;
2006, 877 31 846 28.2903225806452;
2005, 866 27 839 32.0740740740741;
2004, 886 26 860 34.0769230769231;
2003, 900 19 881 47.3684210526316;
2002, 899 15 884 59.9333333333333;
2001, 916 10 906 91.6;
2000, 899 9 890 99.8888888888889;
1999, 895 5 890 179;
1998, 922 4 918 230.5;
1997, 930 3 927 310;
1996, 958 2 956 479;
1995, 938 1 937 938;
1994, 939 1 938 939;
1993, 955 1 954 955;
1992, 965 1 964 965;
1991, 1013 1 1012 1013;
